app	score	tier	depth	backendTests	frontendTests	migrations	controllers	services	domain	integrationManifest	emits	consumes	unmatchedConsumes	incomingLinks	outgoingLinks	primaryRisks
agencyos	73	Beta	Medium	3	0	1	3	3	6	yes	0	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
agentops	88	Production Candidate	Medium	2	1	1	3	4	5	yes	5	2	2	0	0	
analyticsbuilder	60	Beta	Shallow	1	0	1	1	1	5	yes	0	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
apievolver	60	Beta	Shallow	1	0	1	1	3	3	yes	3	2	2	0	0	no-frontend-tests,no-backend-dockerfile
apigatekeeper	75	Beta	Deep	1	1	1	8	5	8	yes	0	0	0	0	0	no-backend-dockerfile,no-readme
apimanager	93	Production Candidate	Medium	3	2	1	8	8	5	yes	4	2	2	0	0	
auditready	45	Alpha	Shallow	1	0	1	1	3	4	yes	2	2	0	2	0	no-frontend,no-backend-dockerfile,no-readme
backupvault	78	Beta	Shallow	1	1	1	2	3	4	yes	6	0	0	0	0	
billingai	60	Beta	Shallow	1	0	1	2	2	4	yes	0	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
billingsync	88	Production Candidate	Medium	3	2	1	4	6	8	yes	3	2	2	0	0	no-readme
brandvoice	65	Beta	Medium	0	0	2	6	5	4	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
budgetpilot	35	Incubating	Shallow	1	0	0	0	0	0	yes	0	0	0	0	0	no-db-migrations,no-frontend-tests,no-backend-dockerfile
callintelligence	86	Production Candidate	Medium	2	0	6	0	5	12	yes	2	1	0	0	0	no-frontend-tests
cashflowai	55	Alpha	Shallow	0	0	1	0	1	7	yes	1	1	1	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
cashflowanalyzer	50	Alpha	Shallow	0	0	5	0	0	0	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
churnpredictor	93	Production Candidate	Medium	3	3	1	3	5	5	yes	2	2	2	0	0	
compbenchmark	55	Alpha	Shallow	0	0	1	0	0	4	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
compensationos	100	Production Candidate	Medium	5	2	1	7	7	5	yes	2	3	3	0	0	
competitorradar	80	Production Candidate	Deep	1	0	6	5	7	12	yes	0	0	0	0	0	no-frontend-tests
